STATUS	RVA	ADDRESS	NAME	PRIORITY	SEED_TYPE	ERROR
OK	0x1A74D0	1801a74d0	Unload	215	STRING,API,NAME	
OK	0x205AA0	180205aa0	FUN_180205aa0	160	STRING,API	
OK	0x1A6DF0	1801a6df0	__LoadClientScripts	155	STRING,NAME	
OK	0x1A7270	1801a7270	Load	155	STRING,NAME	
OK	0x1A5FB0	1801a5fb0	Resource	140	STRING,NAME	
OK	0x23F480	18023f480	__std_fs_get_final_path_name_by_handle	120	API,NAME	
OK	0x7C70	180007c70	FUN_180007c70	100	STRING	
OK	0x13460	180013460	FUN_180013460	100	STRING	
OK	0x20CC0	180020cc0	FUN_180020cc0	100	STRING	
OK	0x21540	180021540	FUN_180021540	100	STRING	
OK	0x23460	180023460	FUN_180023460	100	STRING	
OK	0x1E1B70	1801e1b70	FUN_1801e1b70	100	STRING	
OK	0x1F3000	1801f3000	FUN_1801f3000	100	STRING	
OK	0x1F3250	1801f3250	FUN_1801f3250	100	STRING	
OK	0x1F3D80	1801f3d80	FUN_1801f3d80	100	STRING	
OK	0x1F3F20	1801f3f20	FUN_1801f3f20	100	STRING	
OK	0x204AE0	180204ae0	FUN_180204ae0	100	STRING	
OK	0x206530	180206530	FUN_180206530	100	STRING	
OK	0x2099D0	1802099d0	FUN_1802099d0	100	STRING	
OK	0x209BA0	180209ba0	FUN_180209ba0	100	STRING	
OK	0x21CA50	18021ca50	FUN_18021ca50	100	STRING	
OK	0x22AD00	18022ad00	FUN_18022ad00	100	STRING	
OK	0x22F9A0	18022f9a0	FUN_18022f9a0	100	STRING	
OK	0x23F4B0	18023f4b0	__std_fs_open_handle	100	API,NAME	
OK	0x251A02	180251a02	FUN_180251a02	100	STRING	
OK	0x225A0	1800225a0	FUN_1800225a0	60	API	
OK	0x1B6E70	1801b6e70	FUN_1801b6e70	60	API	
OK	0x1B7040	1801b7040	FUN_1801b7040	60	API	
OK	0x1DD670	1801dd670	FUN_1801dd670	60	API	
OK	0x22F660	18022f660	FUN_18022f660	60	API	
OK	0x233630	180233630	FUN_180233630	60	API	
OK	0x233920	180233920	FUN_180233920	60	API	
OK	0x23F200	18023f200	FUN_18023f200	60	API	
OK	0x23F248	18023f248	__std_fs_convert_narrow_to_wide	60	API	
OK	0x23F290	18023f290	__std_fs_convert_wide_to_narrow	60	API	
OK	0x23F3B4	18023f3b4	FUN_18023f3b4	60	API	
OK	0x251F18	180251f18	FUN_180251f18	60	API	
OK	0x251F78	180251f78	FUN_180251f78	60	API	
OK	0x1A6270	1801a6270	Preload	55	NAME	
OK	0x2017A0	1802017a0	PreloadResource	55	NAME	
OK	0x201890	180201890	LoadResource	55	NAME	
OK	0x2018D0	1802018d0	UnloadResource	55	NAME	
OK	0x2019E0	1802019e0	LoadAllResources	55	NAME	
OK	0x201A20	180201a20	UnloadAllResources	55	NAME	
OK	0x201AD0	180201ad0	DoesAllResourcesAreLoaded	55	NAME	
OK	0xC7B0	18000c7b0	Resource	40	NAME	
OK	0x1A6190	1801a6190	~Resource	40	NAME	
OK	0x201390	180201390	GetResource	40	NAME	
OK	0x201410	180201410	Singleton<ResourcesManager>	40	NAME	
OK	0x201420	180201420	~Singleton<ResourcesManager>	40	NAME	
OK	0x201430	180201430	ResourcesManager	40	NAME	
OK	0x2014B0	1802014b0	~ResourcesManager	40	NAME	
OK	0x201540	180201540	ResourcesManager	40	NAME	
OK	0x201560	180201560	ResourcesManager	40	NAME	
FAILED	unknown	EXTERNAL:00000015	GetFinalPathNameByHandleW	20	CONTEXT	Exception while decompiling EXTERNAL:00000015: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000026	CreateFileW	15	CONTEXT	Exception while decompiling EXTERNAL:00000026: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000001	IsOpen	0	CONTEXT	Exception while decompiling EXTERNAL:00000001: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000003	Get	0	CONTEXT	Exception while decompiling EXTERNAL:00000003: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000016	TerminateThread	0	CONTEXT	Exception while decompiling EXTERNAL:00000016: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000017	CloseHandle	0	CONTEXT	Exception while decompiling EXTERNAL:00000017: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000018	CreateThread	0	CONTEXT	Exception while decompiling EXTERNAL:00000018: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000019	GetLastError	0	CONTEXT	Exception while decompiling EXTERNAL:00000019: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000001c	MultiByteToWideChar	0	CONTEXT	Exception while decompiling EXTERNAL:0000001c: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000001d	WideCharToMultiByte	0	CONTEXT	Exception while decompiling EXTERNAL:0000001d: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000003b	Get	0	CONTEXT	Exception while decompiling EXTERNAL:0000003b: Cannot marshal address space: EXTERNAL 
