STATUS	RVA	ADDRESS	NAME	PRIORITY	SEED_TYPE	ERROR
OK	0x2F50	180002f50	FUN_180002f50	160	STRING,API	
OK	0x5AD0	180005ad0	FUN_180005ad0	160	STRING,API	
OK	0x69F0	1800069f0	FUN_1800069f0	160	STRING,API	
OK	0xF310	18000f310	FUN_18000f310	160	STRING,API	
OK	0x55D90	180055d90	FUN_180055d90	160	STRING,API	
OK	0x58880	180058880	FUN_180058880	160	STRING,API	
OK	0x1A80	180001a80	FUN_180001a80	100	STRING	
OK	0x2CA0	180002ca0	FUN_180002ca0	100	STRING	
OK	0x15190	180015190	FUN_180015190	100	STRING	
OK	0x399F0	1800399f0	FUN_1800399f0	100	STRING	
OK	0x39CD0	180039cd0	FUN_180039cd0	100	STRING	
OK	0x3A790	18003a790	FUN_18003a790	100	STRING	
OK	0x3AC80	18003ac80	FUN_18003ac80	100	STRING	
OK	0x40090	180040090	FUN_180040090	100	STRING	
OK	0x59FD0	180059fd0	FUN_180059fd0	100	STRING	
OK	0x5D410	18005d410	FUN_18005d410	100	STRING	
OK	0x62F90	180062f90	FUN_180062f90	100	STRING	
OK	0xB8AF0	1800b8af0	FUN_1800b8af0	100	STRING	
OK	0xBC420	1800bc420	FUN_1800bc420	100	STRING	
OK	0xC37D0	1800c37d0	FUN_1800c37d0	100	STRING	
OK	0xF3620	1800f3620	__std_fs_open_handle	100	API,NAME	
OK	0x1520	180001520	FUN_180001520	60	API	
OK	0x1740	180001740	FUN_180001740	60	API	
OK	0x19B0	1800019b0	FUN_1800019b0	60	API	
OK	0x22D0	1800022d0	FUN_1800022d0	60	API	
OK	0x4D30	180004d30	FUN_180004d30	60	API	
OK	0x88C0	1800088c0	FUN_1800088c0	60	API	
OK	0x8DD0	180008dd0	FUN_180008dd0	60	API	
OK	0xF1D0	18000f1d0	FUN_18000f1d0	60	API	
OK	0x11070	180011070	FUN_180011070	60	API	
OK	0x4D990	18004d990	FUN_18004d990	60	API	
OK	0x4F4B0	18004f4b0	FUN_18004f4b0	60	API	
OK	0x52C00	180052c00	FUN_180052c00	60	API	
OK	0x54690	180054690	FUN_180054690	60	API	
OK	0x58350	180058350	FUN_180058350	60	API	
OK	0x5C5E0	18005c5e0	FUN_18005c5e0	60	API	
OK	0x5CF70	18005cf70	FUN_18005cf70	60	API	
OK	0x5DF10	18005df10	FUN_18005df10	60	API	
OK	0xAEB28	1800aeb28	FUN_1800aeb28	60	API	
OK	0xAEC7C	1800aec7c	FUN_1800aec7c	60	API	
OK	0xAF2D8	1800af2d8	FUN_1800af2d8	60	API	
OK	0xAF3DC	1800af3dc	FUN_1800af3dc	60	API	
OK	0xBB9F0	1800bb9f0	FUN_1800bb9f0	60	API	
OK	0xC3A60	1800c3a60	FUN_1800c3a60	60	API	
OK	0xC3BD0	1800c3bd0	FUN_1800c3bd0	60	API	
OK	0xEA9F0	1800ea9f0	FUN_1800ea9f0	60	API	
OK	0xEB1A0	1800eb1a0	FUN_1800eb1a0	60	API	
OK	0xEB4B0	1800eb4b0	FUN_1800eb4b0	60	API	
OK	0xEBC00	1800ebc00	FUN_1800ebc00	60	API	
OK	0xF30C0	1800f30c0	__std_fs_convert_narrow_to_wide	60	API	
OK	0xF3108	1800f3108	__std_fs_convert_wide_to_narrow	60	API	
OK	0xF322C	1800f322c	FUN_1800f322c	60	API	
OK	0xF32F8	1800f32f8	FUN_1800f32f8	60	API	
OK	0xFBD98	1800fbd98	FUN_1800fbd98	60	API	
OK	0xFBF68	1800fbf68	FUN_1800fbf68	60	API	
OK	0xFC224	1800fc224	FUN_1800fc224	60	API	
OK	0xFC868	1800fc868	FUN_1800fc868	60	API	
OK	0x64D2F	180064d2f	PreLoad	55	NAME	
OK	0x64D35	180064d35	PostLoad	55	NAME	
OK	0x64D3B	180064d3b	PreLoad	55	NAME	
OK	0x64D41	180064d41	PreLoad	55	NAME	
OK	0x64D47	180064d47	PostLoad	55	NAME	
OK	0x64D4D	180064d4d	PostLoad	55	NAME	
OK	0x64D53	180064d53	PreLoad	55	NAME	
OK	0x64D59	180064d59	PreLoad	55	NAME	
FAILED	unknown	EXTERNAL:00000001	DownloadResource	15	CONTEXT	Exception while decompiling EXTERNAL:00000001: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000004	DownloadResources	15	CONTEXT	Exception while decompiling EXTERNAL:00000004: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000006	UnloadResource	15	CONTEXT	Exception while decompiling EXTERNAL:00000006: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000007	LoadAllResources	15	CONTEXT	Exception while decompiling EXTERNAL:00000007: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000008	DoesAllResourcesAreLoaded	15	CONTEXT	Exception while decompiling EXTERNAL:00000008: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000000b	LoadResource	15	CONTEXT	Exception while decompiling EXTERNAL:0000000b: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000023	PreLoad	15	CONTEXT	Exception while decompiling EXTERNAL:00000023: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000025	PostLoad	15	CONTEXT	Exception while decompiling EXTERNAL:00000025: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000026	PreLoad	15	CONTEXT	Exception while decompiling EXTERNAL:00000026: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000027	PreLoad	15	CONTEXT	Exception while decompiling EXTERNAL:00000027: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000028	PostLoad	15	CONTEXT	Exception while decompiling EXTERNAL:00000028: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:00000029	PostLoad	15	CONTEXT	Exception while decompiling EXTERNAL:00000029: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000002a	PreLoad	15	CONTEXT	Exception while decompiling EXTERNAL:0000002a: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000002b	PreLoad	15	CONTEXT	Exception while decompiling EXTERNAL:0000002b: Cannot marshal address space: EXTERNAL 
FAILED	unknown	EXTERNAL:0000007e	GetFileInformationByHandleEx	15	CONTEXT	Exception while decompiling EXTERNAL:0000007e: Cannot marshal address space: EXTERNAL 
