ADDRESS	NAME	NAMESPACE	SIZE	THUNK	EXTERNAL
18000a0a0	FUN_18000a0a0	Global	0x16	false	false
18000a0c0	FUN_18000a0c0	Global	0xc8	false	false
18000a190	FUN_18000a190	Global	0x16a	false	false
18000a300	OnStart	GameClient	0x1e4	false	false
18000a4f0	OnConnectionSucceeded	GameClient	0x89	false	false
18000a580	OnConnectionFailed	GameClient	0x121	false	false
18000a6b0	OnTick	GameClient	0x20	false	false
18000a6d0	OnUpdate	GameClient	0xc	false	false
18000a6e0	OnDisconnect	GameClient	0x67b	false	false
18000ad60	GetServerData	GameClient	0x8	false	false
18000ad70	FUN_18000ad70	Global	0x27	false	false
18000adb0	FUN_18000adb0	Global	0x1c7	false	false
18000af90	FUN_18000af90	Global	0x271	false	false
18000b210	FUN_18000b210	Global	0x2c0	false	false
18000b4d0	FUN_18000b4d0	Global	0x83	false	false
18000b560	FUN_18000b560	Global	0x39	false	false
18000b5a0	FUN_18000b5a0	Global	0x3e	false	false
18000b5e0	FUN_18000b5e0	Global	0x2b	false	false
18000b610	FUN_18000b610	Global	0x2b	false	false
18000b640	FUN_18000b640	Global	0x2b	false	false
18000b690	FUN_18000b690	Global	0x24	false	false
18000b6c0	FUN_18000b6c0	Global	0x2a5	false	false
18000b970	FUN_18000b970	Global	0x8	false	false
18000b980	FUN_18000b980	Global	0xa	false	false
18000b990	FUN_18000b990	Global	0x16	false	false
18000b9b0	FUN_18000b9b0	Global	0x96	false	false
18000ba50	FUN_18000ba50	Global	0x5a0	false	false
18000bff0	FUN_18000bff0	Global	0x8	false	false
18000c000	thunk_FUN_18000ba50	Global	0x5	true	false
18000c010	FUN_18000c010	Global	0x16	false	false
18000c030	FUN_18000c030	Global	0x10a	false	false
18000c140	TextChat	TextChat	0x96	false	false
18000c1e0	SetChatTitle	TextChat	0x2a0	false	false
18000c490	UpdateChatPing	TextChat	0x236	false	false
18000c6d0	SendChatMessage	TextChat	0x1e0	false	false
18000c8c0	SendChatMessage	TextChat	0x1eb	false	false
18000cab0	HandleChatMessage	TextChat	0xb34	false	false
18000d600	FUN_18000d600	Global	0x3b	false	false
18000d640	FUN_18000d640	Global	0x78	false	false
18000d6c0	FUN_18000d6c0	Global	0x16f	false	false
18000d840	FUN_18000d840	Global	0x1bf	false	false
18000da10	FUN_18000da10	Global	0x12b	false	false
18000db40	FUN_18000db40	Global	0x8	false	false
18000db50	FUN_18000db50	Global	0x9	false	false
18000db60	FUN_18000db60	Global	0x16	false	false
18000db80	FUN_18000db80	Global	0x101	false	false
18000dc90	FUN_18000dc90	Global	0x34b	false	false
18000dfe0	FUN_18000dfe0	Global	0x351	false	false
18000e340	FUN_18000e340	Global	0x12b	false	false
18000e470	FUN_18000e470	Global	0x3e	false	false
18000e4d0	FUN_18000e4d0	Global	0x3a7	false	false
18000e880	FUN_18000e880	Global	0xb8	false	false
18000e940	FUN_18000e940	Global	0xdc	false	false
18000ea20	FUN_18000ea20	Global	0xf2	false	false
18000eb20	FUN_18000eb20	Global	0x136	false	false
18000ec60	FUN_18000ec60	Global	0x14c	false	false
18000edb0	FUN_18000edb0	Global	0x17f	false	false
18000ef40	FUN_18000ef40	Global	0x122	false	false
18000f070	FUN_18000f070	Global	0x25d	false	false
18000f2e0	FUN_18000f2e0	Global	0x1a0	false	false
18000f480	FUN_18000f480	Global	0x16a	false	false
18000f5f0	FUN_18000f5f0	Global	0x96	false	false
18000f690	FUN_18000f690	Global	0x1a4	false	false
18000f840	FUN_18000f840	Global	0x19b	false	false
18000f9e0	FUN_18000f9e0	Global	0x83	false	false
18000fa70	FUN_18000fa70	Global	0x1f4	false	false
18000fc70	FUN_18000fc70	Global	0x13d	false	false
18000fdb0	FUN_18000fdb0	Global	0xda	false	false
18000fe90	FUN_18000fe90	Global	0x5b	false	false
18000fef0	FUN_18000fef0	Global	0x10b	false	false
180010000	FUN_180010000	Global	0x12c	false	false
180010130	FUN_180010130	Global	0x18d	false	false
1800102c0	FUN_1800102c0	Global	0x7a	false	false
180010340	FUN_180010340	Global	0x52	false	false
1800103a0	FUN_1800103a0	Global	0x1f7	false	false
1800105a0	FUN_1800105a0	Global	0xb6	false	false
180010660	FUN_180010660	Global	0xa7	false	false
180010710	FUN_180010710	Global	0x34	false	false
180010750	FUN_180010750	Global	0x92	false	false
1800107e4	FUN_1800107e4	Global	0xc	false	false
1800107f0	FUN_1800107f0	Global	0xc3	false	false
1800108c0	FUN_1800108c0	Global	0x95	false	false
180010960	FUN_180010960	Global	0x195	false	false
180010b00	FUN_180010b00	Global	0xe2	false	false
180010bf0	FUN_180010bf0	Global	0x183	false	false
180010d80	FUN_180010d80	Global	0x98	false	false
180010e20	FUN_180010e20	Global	0x27	false	false
180010e50	FUN_180010e50	Global	0x10	false	false
180010e60	FUN_180010e60	Global	0x1a	false	false
180010e80	FUN_180010e80	Global	0x3b4	false	false
180011240	FUN_180011240	Global	0x27b	false	false
1800114d0	FUN_1800114d0	Global	0x4ce	false	false
1800119b0	FUN_1800119b0	Global	0x21c	false	false
180011bd0	FUN_180011bd0	Global	0x23	false	false
180011c00	FUN_180011c00	Global	0x36d	false	false
180011f70	FUN_180011f70	Global	0x16e	false	false
1800120e0	FUN_1800120e0	Global	0x86	false	false
180012170	FUN_180012170	Global	0xf2	false	false
180012270	FUN_180012270	Global	0xe0	false	false
180012350	FUN_180012350	Global	0x284	false	false
1800125e0	FUN_1800125e0	Global	0x28	false	false
180012610	FUN_180012610	Global	0xd8	false	false
1800126f0	FUN_1800126f0	Global	0x303	false	false
180012a00	FUN_180012a00	Global	0x84	false	false
180012a90	FUN_180012a90	Global	0x17d	false	false
180012c10	FUN_180012c10	Global	0x6d	false	false
180012c80	FUN_180012c80	Global	0x147	false	false
180012dd0	FUN_180012dd0	Global	0x2cf	false	false
1800130e0	FUN_1800130e0	Global	0x131	false	false
180013220	FUN_180013220	Global	0x35	false	false
180013260	FUN_180013260	Global	0x62	false	false
1800132d0	FUN_1800132d0	Global	0x1e0	false	false
1800134b0	FUN_1800134b0	Global	0x197	false	false
180013650	FUN_180013650	Global	0x96	false	false
1800136f0	FUN_1800136f0	Global	0x2ce	false	false
1800139c0	FUN_1800139c0	Global	0x403	false	false
180013dd0	FUN_180013dd0	Global	0x98f	false	false
180014790	FUN_180014790	Global	0x293	false	false
180014a30	FUN_180014a30	Global	0x283	false	false
180014cc0	FUN_180014cc0	Global	0xe1	false	false
180014db0	FUN_180014db0	Global	0x182	false	false
180014f40	FUN_180014f40	Global	0x653	false	false
1800155a0	FUN_1800155a0	Global	0x3be	false	false
180015960	FUN_180015960	Global	0x334	false	false
180015ca0	FUN_180015ca0	Global	0xe3	false	false
180015d90	FUN_180015d90	Global	0x190	false	false
180015f20	cef_string_utf16_set	LIBCEF.DLL	0x6	true	false
180015f26	cef_string_utf16_clear	LIBCEF.DLL	0x6	true	false
180015f30	FUN_180015f30	Global	0x233	false	false
180016170	FUN_180016170	Global	0x55	false	false
1800161d0	FUN_1800161d0	Global	0xfd	false	false
1800162d0	FUN_1800162d0	Global	0x102	false	false
1800163f0	FUN_1800163f0	Global	0xef	false	false
1800164e0	FUN_1800164e0	Global	0x18d	false	false
180016670	FUN_180016670	Global	0x25	false	false
1800166a0	FUN_1800166a0	Global	0x2b	false	false
1800166d0	FUN_1800166d0	Global	0x25	false	false
180016700	FUN_180016700	Global	0x6b	false	false
180016770	FUN_180016770	Global	0x1c	false	false
180016790	FUN_180016790	Global	0x77	false	false
180016810	FUN_180016810	Global	0x8b	false	false
1800168a0	FUN_1800168a0	Global	0x27	false	false
1800168d0	FUN_1800168d0	Global	0x9d	false	false
180016970	FUN_180016970	Global	0x94	false	false
180016a10	FUN_180016a10	Global	0x9d	false	false
180016ab0	FUN_180016ab0	Global	0x92	false	false
180016b50	FUN_180016b50	Global	0x8f	false	false
180016be0	FUN_180016be0	Global	0x9d	false	false
180016c80	FUN_180016c80	Global	0x72	false	false
180016d00	FUN_180016d00	Global	0x180	false	false
180016e80	FUN_180016e80	Global	0x8c	false	false
180016f10	FUN_180016f10	Global	0x9d	false	false
