ADDRESS	NAME	NAMESPACE	SIZE	THUNK	EXTERNAL
18000feec	FUN_18000feec	Global	0x23	false	false
18000ff10	FUN_18000ff10	Global	0xe	false	false
18000ff20	FUN_18000ff20	Global	0xc	false	false
18000ff2c	FUN_18000ff2c	Global	0x8	false	false
18000ff34	FUN_18000ff34	Global	0x8	false	false
18000ff3c	FUN_18000ff3c	Global	0x1b	false	false
18000ff58	FUN_18000ff58	Global	0x8	false	false
18000ff60	FUN_18000ff60	Global	0x3c	false	false
18000ff9c	FUN_18000ff9c	Global	0x3c	false	false
18000ffe0	__CxxFrameHandler4	VCRUNTIME140_1.DLL	0x6	true	false
18000ffec	_purecall	VCRUNTIME140.DLL	0x6	true	false
18000fff8	__current_exception	VCRUNTIME140.DLL	0x6	true	false
18000fffe	__current_exception_context	VCRUNTIME140.DLL	0x6	true	false
180010004	_CxxThrowException	VCRUNTIME140.DLL	0x6	true	false
18001000a	memset	VCRUNTIME140.DLL	0x6	true	false
180010010	__std_type_info_destroy_list	VCRUNTIME140.DLL	0x6	true	false
180010016	free	API-MS-WIN-CRT-HEAP-L1-1-0.DLL	0x6	true	false
18001001c	malloc	API-MS-WIN-CRT-HEAP-L1-1-0.DLL	0x6	true	false
180010022	_callnewh	API-MS-WIN-CRT-HEAP-L1-1-0.DLL	0x6	true	false
180010028	_seh_filter_dll	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001002e	_configure_narrow_argv	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
180010034	_initialize_narrow_environment	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001003a	_initialize_onexit_table	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
180010040	_register_onexit_function	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
180010046	_execute_onexit_table	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001004c	_crt_atexit	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
180010052	_cexit	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
180010058	terminate	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001005e	_initterm	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
180010064	_initterm_e	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	0x6	true	false
18001006c	FUN_18001006c	Global	0x3	false	false
180010070	FUN_180010070	Global	0x3	false	false
180010074	FID_conflict:__GSHandlerCheck_EH	Global	0x7f	false	false
1800100f3	memchr	VCRUNTIME140.DLL	0x6	true	false
1800100f9	memcmp	VCRUNTIME140.DLL	0x6	true	false
1800100ff	memcpy	VCRUNTIME140.DLL	0x6	true	false
180010105	memmove	VCRUNTIME140.DLL	0x6	true	false
18001010b	atan2f	API-MS-WIN-CRT-MATH-L1-1-0.DLL	0x6	true	false
180010111	ceilf	API-MS-WIN-CRT-MATH-L1-1-0.DLL	0x6	true	false
180010130	_guard_dispatch_icall	Global	0x2	false	false
180010150	_guard_dispatch_icall	Global	0x6	true	false
180010184	FUN_180010184	Global	0x31	false	false
1800101ed	FUN_1800101ed	Global	0x31	false	false
180010294	FUN_180010294	Global	0x3a	false	false
180010370	FUN_180010370	Global	0x26	false	false
1800103a0	FUN_1800103a0	Global	0x26	false	false
1800103c6	FUN_1800103c6	Global	0x26	false	false
180010430	FUN_180010430	Global	0x26	false	false
1800104b0	FUN_1800104b0	Global	0x26	false	false
18001050c	FUN_18001050c	Global	0x2a	false	false
1800105a4	FUN_1800105a4	Global	0x2a	false	false
1800106a0	FUN_1800106a0	Global	0x26	false	false
180010768	FUN_180010768	Global	0x17	false	false
180010780	FUN_180010780	Global	0x2b	false	false
1800107ac	FUN_1800107ac	Global	0x5d	false	false
18001080b	FUN_18001080b	Global	0x16	false	false
180010822	FUN_180010822	Global	0x18	false	false
18001083b	FUN_18001083b	Global	0x13	false	false
18001084f	FUN_18001084f	Global	0x35	false	false
180010890	FUN_180010890	Global	0x33	false	false
1800108d0	FUN_1800108d0	Global	0x70	false	false
180010950	FUN_180010950	Global	0x78	false	false
1800109d0	FUN_1800109d0	Global	0x70	false	false
180010a5c	FUN_180010a5c	Global	0x57	false	false
