TYPE	RVA	ADDRESS	NAME	PRIORITY	SIGNATURE
CONTEXT	unknown	EXTERNAL:00000025	WideCharToMultiByte	0	int WideCharToMultiByte(UINT CodePage, DWORD dwFlags, LPCWSTR lpWideCharStr, int cchWideChar, LPSTR lpMultiByteStr, int cbMultiByte, LPCSTR lpDefaultChar, LPBOOL lpUsedDefaultChar)
CONTEXT	unknown	EXTERNAL:00000026	MultiByteToWideChar	0	int MultiByteToWideChar(UINT CodePage, DWORD dwFlags, LPCSTR lpMultiByteStr, int cbMultiByte, LPWSTR lpWideCharStr, int cchWideChar)
CONTEXT	unknown	EXTERNAL:0000002e	setstate	0	void setstate(basic_ios<char,std::char_traits<char>_> * this, int param_1, bool param_2)
CONTEXT	unknown	EXTERNAL:0000002f	basic_ios<char,std::char_traits<char>_>	0	undefined basic_ios<char,std::char_traits<char>_>(basic_ios<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000030	basic_ostream<char,std::char_traits<char>_>	0	undefined basic_ostream<char,std::char_traits<char>_>(basic_ostream<char,std::char_traits<char>_> * this, basic_streambuf<char,std::char_traits<char>_> * param_1, bool param_2)
CONTEXT	unknown	EXTERNAL:00000031	basic_istream<char,std::char_traits<char>_>	0	undefined basic_istream<char,std::char_traits<char>_>(basic_istream<char,std::char_traits<char>_> * this, basic_streambuf<char,std::char_traits<char>_> * param_1, bool param_2)
CONTEXT	unknown	EXTERNAL:0000003b	~basic_ios<char,std::char_traits<char>_>	0	void ~basic_ios<char,std::char_traits<char>_>(basic_ios<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:0000003c	~basic_ostream<char,std::char_traits<char>_>	0	void ~basic_ostream<char,std::char_traits<char>_>(basic_ostream<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:0000003d	operator<<	0	basic_ostream<char,struct_std::char_traits<char>_> * operator<<(basic_ostream<char,std::char_traits<char>_> * this, _func_basic_ostream<char,struct_std::char_traits<char>_>_ptr_basic_ostream<char,struct_std::char_traits<char>_>_ptr * param_1)
CONTEXT	unknown	EXTERNAL:0000003e	operator<<	0	basic_ostream<char,struct_std::char_traits<char>_> * operator<<(basic_ostream<char,std::char_traits<char>_> * this, _func_ios_base_ptr_ios_base_ptr * param_1)
CONTEXT	unknown	EXTERNAL:00000040	~basic_istream<char,std::char_traits<char>_>	0	void ~basic_istream<char,std::char_traits<char>_>(basic_istream<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000041	operator>>	0	basic_istream<char,struct_std::char_traits<char>_> * operator>>(basic_istream<char,std::char_traits<char>_> * this, _func_ios_base_ptr_ios_base_ptr * param_1)
CONTEXT	unknown	EXTERNAL:00000042	operator>>	0	basic_istream<char,struct_std::char_traits<char>_> * operator>>(basic_istream<char,std::char_traits<char>_> * this, uint * param_1)
CONTEXT	unknown	EXTERNAL:00000047	exceptions	0	void exceptions(ios_base * this, int param_1)
CONTEXT	unknown	EXTERNAL:00000049	good	0	bool good(ios_base * this)
CONTEXT	unknown	EXTERNAL:0000004a	always_noconv	0	bool always_noconv(codecvt_base * this)
CONTEXT	unknown	EXTERNAL:0000004c	_Throw_Cpp_error	0	void _Throw_Cpp_error(int param_1)
CONTEXT	unknown	EXTERNAL:0000004d	_Mtx_lock	0	undefined _Mtx_lock(void)
CONTEXT	unknown	EXTERNAL:0000004e	_Mtx_unlock	0	undefined _Mtx_unlock(void)
CONTEXT	unknown	EXTERNAL:00000051	flush	0	basic_ostream<char,struct_std::char_traits<char>_> * flush(basic_ostream<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000052	_Osfx	0	void _Osfx(basic_ostream<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000053	_Init	0	void _Init(basic_streambuf<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000054	basic_streambuf<char,std::char_traits<char>_>	0	undefined basic_streambuf<char,std::char_traits<char>_>(basic_streambuf<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000057	sputc	0	int sputc(basic_streambuf<char,std::char_traits<char>_> * this, char param_1)
CONTEXT	unknown	EXTERNAL:0000005c	sputn	0	__int64 sputn(basic_streambuf<char,std::char_traits<char>_> * this, char * param_1, __int64 param_2)
CONTEXT	unknown	EXTERNAL:0000005e	getloc	0	locale getloc(basic_streambuf<char,std::char_traits<char>_> * this)
CONTEXT	unknown	EXTERNAL:00000066	_Fiopen	0	_iobuf * _Fiopen(wchar_t * param_1, int param_2, int param_3)
CONTEXT	unknown	EXTERNAL:00000069	_Xout_of_range	0	void _Xout_of_range(char * param_1)
CONTEXT	unknown	EXTERNAL:0000006c	uncaught_exceptions	0	int uncaught_exceptions(void)
CONTEXT	unknown	EXTERNAL:0000008a	_invalid_parameter_noinfo_noreturn	0	void _invalid_parameter_noinfo_noreturn(void)
CONTEXT	unknown	EXTERNAL:00000096	abort	0	void abort(void)
CONTEXT	unknown	EXTERNAL:0000009b	fclose	0	int fclose(FILE * _File)
CONTEXT	unknown	EXTERNAL:000000a4	__stdio_common_vsnprintf_s	0	undefined __stdio_common_vsnprintf_s(void)
CONTEXT	unknown	EXTERNAL:000000a8	_get_stream_buffer_pointers	0	undefined _get_stream_buffer_pointers(void)
CONTEXT	unknown	EXTERNAL:000000ab	fopen_s	0	errno_t fopen_s(FILE * * _File, char * _Filename, char * _Mode)
CONTEXT	unknown	EXTERNAL:000000bd	_localtime64_s	0	errno_t _localtime64_s(tm * _Tm, __time64_t * _Time)
CONTEXT	unknown	EXTERNAL:000000be	_time64	0	__time64_t _time64(__time64_t * _Time)
CONTEXT	0x1D40	180001d40	FUN_180001d40	0	undefined FUN_180001d40(longlong * param_1)
CONTEXT	0x1DA0	180001da0	FUN_180001da0	0	undefined * FUN_180001da0(void)
CONTEXT	0x1FE0	180001fe0	FUN_180001fe0	0	undefined4 * FUN_180001fe0(undefined4 * param_1)
CONTEXT	0x27A0	1800027a0	FUN_1800027a0	0	undefined8 * * * FUN_1800027a0(undefined8 * * * param_1, undefined8 * param_2, ulonglong * param_3)
CONTEXT	0x2BB0	180002bb0	FUN_180002bb0	0	basic_ostream<char,std::char_traits<char>_> * FUN_180002bb0(basic_ostream<char,std::char_traits<char>_> * param_1)
CONTEXT	0x2C50	180002c50	FUN_180002c50	0	basic_ostream<char,std::char_traits<char>_> * FUN_180002c50(basic_ostream<char,std::char_traits<char>_> * param_1)
CONTEXT	0x2CF0	180002cf0	FUN_180002cf0	0	basic_ostream<char,std::char_traits<char>_> * FUN_180002cf0(basic_ostream<char,std::char_traits<char>_> * param_1)
CONTEXT	0x2D90	180002d90	FUN_180002d90	0	basic_ostream<char,std::char_traits<char>_> * FUN_180002d90(basic_ostream<char,std::char_traits<char>_> * param_1)
CONTEXT	0x38C0	1800038c0	FUN_1800038c0	0	longlong * FUN_1800038c0(longlong param_1, longlong * param_2)
CONTEXT	0x3D10	180003d10	FUN_180003d10	0	undefined FUN_180003d10(longlong param_1)
CONTEXT	0x4170	180004170	FUN_180004170	0	undefined4 * FUN_180004170(undefined4 * param_1, longlong param_2)
CONTEXT	0x42C0	1800042c0	FUN_1800042c0	0	longlong * FUN_1800042c0(longlong * param_1, char * param_2, longlong * param_3, longlong * param_4)
CONTEXT	0x4CC0	180004cc0	FUN_180004cc0	0	undefined FUN_180004cc0(longlong * param_1, basic_ostream<char,std::char_traits<char>_> * param_2, uint * param_3, char * param_4)
CONTEXT	0x51F0	1800051f0	FUN_1800051f0	0	undefined8 * FUN_1800051f0(undefined8 * param_1, undefined8 * param_2, undefined4 * param_3)
CONTEXT	0x54F0	1800054f0	FUN_1800054f0	0	uint * FUN_1800054f0(uint * param_1, uint * param_2)
CONTEXT	0x5600	180005600	FUN_180005600	0	longlong * FUN_180005600(undefined8 * param_1, longlong * param_2)
CONTEXT	0x5650	180005650	FUN_180005650	0	longlong * FUN_180005650(longlong * param_1, longlong * param_2, undefined8 param_3)
CONTEXT	0x5F10	180005f10	FUN_180005f10	0	undefined FUN_180005f10(void * param_1, undefined8 * param_2, undefined8 * param_3)
CONTEXT	0x5F70	180005f70	FUN_180005f70	0	longlong * FUN_180005f70(longlong * param_1, longlong * param_2)
CONTEXT	0x6010	180006010	FUN_180006010	0	undefined8 FUN_180006010(LPCWSTR param_1)
CONTEXT	0x6120	180006120	FUN_180006120	0	undefined4 * FUN_180006120(uint * param_1, undefined8 * param_2, size_t param_3)
CONTEXT	0x6CD0	180006cd0	FUN_180006cd0	0	undefined8 * FUN_180006cd0(undefined8 * param_1, longlong param_2)
CONTEXT	0xB7D0	18000b7d0	FUN_18000b7d0	0	longlong * * FUN_18000b7d0(longlong * * param_1, longlong param_2)
CONTEXT	0x12120	180012120	FUN_180012120	0	undefined FUN_180012120(longlong param_1)
CONTEXT	0x19530	180019530	FUN_180019530	0	longlong FUN_180019530(char * param_1, longlong * param_2, undefined8 param_3, undefined8 param_4)
CONTEXT	0x196D0	1800196d0	FUN_1800196d0	0	char * FUN_1800196d0(char * param_1, char param_2)
CONTEXT	0x19940	180019940	FUN_180019940	0	longlong * FUN_180019940(longlong * param_1, longlong * param_2)
CONTEXT	0x1A790	18001a790	FUN_18001a790	0	undefined FUN_18001a790(basic_streambuf<char,std::char_traits<char>_> * param_1)
CONTEXT	0x1F5F0	18001f5f0	FUN_18001f5f0	0	undefined8 * FUN_18001f5f0(undefined8 * param_1, undefined8 param_2, undefined8 param_3)
CONTEXT	0x1F770	18001f770	FUN_18001f770	0	undefined1 FUN_18001f770(undefined1 * param_1)
CONTEXT	0x1F780	18001f780	FUN_18001f780	0	char * FUN_18001f780(char * param_1, char * param_2)
CONTEXT	0x1F970	18001f970	FUN_18001f970	0	undefined1 * FUN_18001f970(undefined1 * param_1, undefined1 * param_2)
CONTEXT	0x1FB60	18001fb60	FUN_18001fb60	0	undefined8 * FUN_18001fb60(undefined8 * param_1, longlong * param_2)
CONTEXT	0x201E0	1800201e0	FUN_1800201e0	0	undefined FUN_1800201e0(basic_streambuf<char,std::char_traits<char>_> * param_1)
CONTEXT	0x205D0	1800205d0	FUN_1800205d0	0	undefined8 * FUN_1800205d0(undefined8 * param_1)
CONTEXT	0x205F0	1800205f0	FUN_1800205f0	0	longlong * FUN_1800205f0(longlong * param_1, void * param_2)
CONTEXT	0x208C0	1800208c0	FUN_1800208c0	0	undefined8 * FUN_1800208c0(undefined8 * param_1, void * param_2)
CONTEXT	0x20900	180020900	FUN_180020900	0	undefined8 * FUN_180020900(undefined8 * param_1, undefined8 * param_2)
CONTEXT	0x20A20	180020a20	FUN_180020a20	0	undefined FUN_180020a20(void)
CONTEXT	0x20A50	180020a50	FUN_180020a50	0	undefined FUN_180020a50(longlong param_1)
CONTEXT	0x225B0	1800225b0	FUN_1800225b0	0	undefined FUN_1800225b0(char * param_1)
CONTEXT	0x22820	180022820	FUN_180022820	0	basic_streambuf<char,std::char_traits<char>_> * FUN_180022820(basic_streambuf<char,std::char_traits<char>_> * param_1)
CONTEXT	0x22A30	180022a30	FUN_180022a30	0	undefined FUN_180022a30(char * param_1)
CONTEXT	0x22B00	180022b00	FUN_180022b00	0	undefined FUN_180022b00(void)
CONTEXT	0x22BF0	180022bf0	FUN_180022bf0	0	undefined FUN_180022bf0(longlong * param_1)
CONTEXT	0x22F50	180022f50	FUN_180022f50	0	longlong * FUN_180022f50(longlong * param_1, void * param_2, size_t param_3)
CONTEXT	0x24330	180024330	FUN_180024330	0	undefined FUN_180024330(longlong param_1, void * param_2, ulonglong param_3, uint param_4)
CONTEXT	0x24CD0	180024cd0	FUN_180024cd0	0	undefined FUN_180024cd0(ulonglong * param_1, ulonglong param_2, undefined8 param_3)
CONTEXT	0x24E20	180024e20	FUN_180024e20	0	undefined FUN_180024e20(longlong param_1)
CONTEXT	0x257D0	1800257d0	FUN_1800257d0	0	undefined FUN_1800257d0(longlong * param_1)
CONTEXT	0x25880	180025880	FUN_180025880	0	undefined FUN_180025880(longlong * param_1)
CONTEXT	0x26AF0	180026af0	FUN_180026af0	0	longlong * FUN_180026af0(longlong * param_1, longlong * param_2, void * param_3)
CONTEXT	0x26DC0	180026dc0	FUN_180026dc0	0	longlong * FUN_180026dc0(longlong * param_1, UINT param_2, undefined8 * param_3)
CONTEXT	0x26F20	180026f20	FUN_180026f20	0	undefined4 * FUN_180026f20(undefined4 * param_1, undefined4 * param_2, void * param_3)
CONTEXT	0x27650	180027650	FUN_180027650	0	undefined FUN_180027650(undefined8 * param_1, void * param_2, size_t param_3)
CONTEXT	0x27AB0	180027ab0	FUN_180027ab0	0	undefined4 * FUN_180027ab0(undefined4 * param_1, undefined4 * param_2, undefined8 * param_3)
CONTEXT	0x27B60	180027b60	FUN_180027b60	0	undefined8 * FUN_180027b60(undefined8 * param_1, longlong param_2, undefined8 * param_3)
CONTEXT	0x287D0	1800287d0	FUN_1800287d0	0	undefined FUN_1800287d0(void)
CONTEXT	0x29F00	180029f00	FUN_180029f00	0	char * FUN_180029f00(char * param_1, undefined8 param_2, undefined8 param_3, undefined8 param_4)
CONTEXT	0x29FE0	180029fe0	FUN_180029fe0	0	basic_ostream<char,std::char_traits<char>_> * FUN_180029fe0(basic_ostream<char,std::char_traits<char>_> * param_1, char * param_2)
CONTEXT	0x2A240	18002a240	FUN_18002a240	0	basic_ostream<char,std::char_traits<char>_> * FUN_18002a240(basic_ostream<char,std::char_traits<char>_> * param_1)
CONTEXT	0x2A280	18002a280	FUN_18002a280	0	undefined FUN_18002a280(char * param_1, undefined1 param_2, longlong param_3)
CONTEXT	0x2A380	18002a380	FUN_18002a380	0	facet * FUN_18002a380(locale * param_1)
CONTEXT	0x2A850	18002a850	FUN_18002a850	0	longlong * FUN_18002a850(longlong * param_1, char * param_2)
CONTEXT	0x2C000	18002c000	FUN_18002c000	0	undefined FUN_18002c000(char * param_1, undefined1 param_2, longlong param_3)
CONTEXT	0x2C100	18002c100	FUN_18002c100	0	undefined FUN_18002c100(char * param_1, undefined1 param_2, longlong param_3)
CONTEXT	0x2C200	18002c200	FUN_18002c200	0	undefined FUN_18002c200(char * param_1, undefined1 param_2, longlong param_3)
CONTEXT	0x2C300	18002c300	FUN_18002c300	0	undefined FUN_18002c300(char * param_1, undefined1 param_2, longlong param_3)
CONTEXT	0x2C560	18002c560	FUN_18002c560	0	longlong * FUN_18002c560(longlong * param_1)
CONTEXT	0x2CF70	18002cf70	FUN_18002cf70	0	undefined8 * FUN_18002cf70(undefined8 * param_1, undefined8 param_2, undefined8 param_3, undefined1 param_4)
CONTEXT	0x2D800	18002d800	FUN_18002d800	0	undefined8 * FUN_18002d800(float * param_1, undefined8 * param_2, longlong * param_3)
CONTEXT	0x31420	180031420	FUN_180031420	0	undefined4 * FUN_180031420(longlong param_1, undefined4 * param_2)
CONTEXT	0x318B0	1800318b0	FUN_1800318b0	0	undefined1 * FUN_1800318b0(undefined1 * param_1, float * param_2, longlong param_3, longlong * param_4)
CONTEXT	0x34630	180034630	FUN_180034630	0	longlong * FUN_180034630(longlong * param_1, undefined8 param_2, undefined1 * param_3)
CONTEXT	0x34A00	180034a00	FUN_180034a00	0	undefined8 * FUN_180034a00(undefined8 * param_1, undefined8 * param_2)
CONTEXT	0x36790	180036790	FUN_180036790	0	undefined FUN_180036790(void)
CONTEXT	0x37890	180037890	FUN_180037890	0	undefined FUN_180037890(void)
CONTEXT	0x3A370	18003a370	FUN_18003a370	0	undefined FUN_18003a370(void)
CONTEXT	0x3A510	18003a510	FUN_18003a510	0	undefined FUN_18003a510(void)
CONTEXT	0x3AA40	18003aa40	FUN_18003aa40	0	longlong * FUN_18003aa40(longlong * param_1, char * param_2, undefined8 param_3, undefined1 * param_4)
CONTEXT	0x3CF80	18003cf80	FUN_18003cf80	0	undefined FUN_18003cf80(longlong * param_1)
CONTEXT	0x3EB00	18003eb00	FUN_18003eb00	0	longlong * FUN_18003eb00(undefined8 param_1, longlong * param_2, short * param_3)
CONTEXT	0x3EDD0	18003edd0	FUN_18003edd0	0	longlong * FUN_18003edd0(undefined8 param_1, longlong * param_2, short * param_3)
CONTEXT	0x40710	180040710	FUN_180040710	0	longlong FUN_180040710(longlong param_1)
CONTEXT	0x407F0	1800407f0	FUN_1800407f0	0	longlong FUN_1800407f0(longlong param_1, undefined8 * param_2)
CONTEXT	0x41040	180041040	FUN_180041040	0	undefined1 * FUN_180041040(undefined1 * param_1, longlong * param_2, longlong param_3, longlong * param_4)
CONTEXT	0x41180	180041180	FUN_180041180	0	char * FUN_180041180(char * param_1, char * param_2)
CONTEXT	0x43B60	180043b60	FUN_180043b60	0	longlong * FUN_180043b60(longlong * param_1, undefined8 param_2, char * param_3)
CONTEXT	0x443C0	1800443c0	FUN_1800443c0	0	longlong * FUN_1800443c0(longlong * param_1, UINT param_2, undefined8 * param_3)
CONTEXT	0x46650	180046650	FUN_180046650	0	longlong * FUN_180046650(longlong * param_1, longlong param_2)
CONTEXT	0x46660	180046660	FUN_180046660	0	bool FUN_180046660(longlong param_1, undefined8 * param_2)
CONTEXT	0x46760	180046760	FUN_180046760	0	longlong * FUN_180046760(longlong * param_1, undefined8 * param_2, undefined8 * param_3)
CONTEXT	0x46800	180046800	FUN_180046800	0	longlong * FUN_180046800(longlong * param_1, undefined8 param_2, char * param_3)
CONTEXT	0x46AE0	180046ae0	FUN_180046ae0	0	longlong * FUN_180046ae0(longlong * param_1, undefined8 param_2, char * param_3)
CONTEXT	0x46F30	180046f30	FUN_180046f30	0	undefined4 * FUN_180046f30(undefined4 * param_1, undefined4 * param_2)
CONTEXT	0x46FE0	180046fe0	FUN_180046fe0	0	longlong * FUN_180046fe0(longlong * param_1, undefined8 param_2, char * param_3)
CONTEXT	0x47210	180047210	FUN_180047210	0	longlong * FUN_180047210(longlong * param_1, undefined8 param_2, undefined1 * param_3)
CONTEXT	0x47430	180047430	FUN_180047430	0	undefined4 * FUN_180047430(undefined4 * param_1, undefined4 * param_2)
CONTEXT	0x474E0	1800474e0	FUN_1800474e0	0	undefined8 FUN_1800474e0(longlong param_1, longlong param_2, undefined8 * param_3, undefined8 * param_4, longlong param_5)
CONTEXT	0x48130	180048130	FUN_180048130	0	undefined4 * FUN_180048130(undefined4 * param_1, undefined4 * param_2)
CONTEXT	0x481E0	1800481e0	FUN_1800481e0	0	longlong * FUN_1800481e0(longlong * param_1, undefined8 param_2, char * param_3)
CONTEXT	0x48410	180048410	FUN_180048410	0	longlong * FUN_180048410(longlong * param_1, undefined8 param_2, char * param_3)
CONTEXT	0x48640	180048640	FUN_180048640	0	longlong * FUN_180048640(longlong * param_1, undefined8 param_2, undefined1 * param_3)
CONTEXT	0x48850	180048850	FUN_180048850	0	longlong * FUN_180048850(longlong * param_1, undefined8 param_2, char * param_3)
CONTEXT	0x48A80	180048a80	FUN_180048a80	0	longlong * FUN_180048a80(longlong * param_1, undefined8 param_2, char * param_3)
CONTEXT	0x49A60	180049a60	FUN_180049a60	0	undefined FUN_180049a60(longlong param_1)
CONTEXT	0x4A0C0	18004a0c0	FUN_18004a0c0	0	basic_ostream<char,std::char_traits<char>_> * FUN_18004a0c0(basic_ostream<char,std::char_traits<char>_> * param_1, byte * param_2)
CONTEXT	0x4A280	18004a280	FUN_18004a280	0	basic_ostream<char,std::char_traits<char>_> * FUN_18004a280(basic_ostream<char,std::char_traits<char>_> * param_1, short * param_2)
CONTEXT	0x4A360	18004a360	FUN_18004a360	0	undefined FUN_18004a360(char * param_1, undefined1 param_2, longlong param_3)
CONTEXT	0x4A860	18004a860	FUN_18004a860	0	undefined8 * FUN_18004a860(float * param_1, undefined8 * param_2, longlong * param_3)
CONTEXT	0x4B720	18004b720	FUN_18004b720	0	undefined FUN_18004b720(ulonglong * param_1, ulonglong param_2)
CONTEXT	0x4BB40	18004bb40	FUN_18004bb40	0	undefined8 * FUN_18004bb40(float * param_1, undefined8 * param_2, undefined8 * param_3)
CONTEXT	0x4BE90	18004be90	FUN_18004be90	0	undefined8 * FUN_18004be90(undefined8 * param_1, undefined8 * param_2)
CONTEXT	0x4BF10	18004bf10	FUN_18004bf10	0	undefined FUN_18004bf10(void)
CONTEXT	0x4D6D0	18004d6d0	FUN_18004d6d0	0	undefined1 * FUN_18004d6d0(longlong * param_1, undefined1 * param_2, undefined1 * param_3)
